log_no,url,title,published,status,error,body_hash,notes
220432568140,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220432568140&categoryNo=1123,[PRJ-28] 2009.12 ~ 2010.04 - 삼성전자 myCoach 통합 1차,2015. 7. 27. 12:00,full-text,,e07213fbdd4dd7a31adcd7856cc44d0c74207d5933145b29d3744fa1c5975461,1
220432747430,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220432747430&categoryNo=1123,[PRJ-29] 2010.05 ~ 2011.01 - 삼성전자 myCoach 통합 2차,2015. 7. 27. 18:00,full-text,,c639c0223499be390e8d8e7c6fa45765e310cc8ce3a8e1b07eba086695a5f6d9,1
220433314198,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220433314198&categoryNo=1123,[PRJ-30] 2011.02 ~ 2011.12 - 삼성전자 스마트 TV,2015. 7. 27. 23:21,full-text,,e810b5ffa4908410d2260309e9cdb51cd8f138effeb72481bb9a6bab5b4b30bd,1
220447385100,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220447385100&categoryNo=1123,[PRJ-31] 2012.02 ~ 2012.10 - 삼성에버랜드 Legacy 시스템,2015. 8. 11. 12:39,full-text,,96602b2c3f03f485606465324f10e836a99d7966ccc7a041753e0d8ef257f417,1
220468986071,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220468986071&categoryNo=1123,사회 초년생을 위한 - 웹 프로그래머 추천 서적 로드맵,2015. 9. 2. 0:13,full-text,,e456b111711b9b7864db5afe72a1d83b36710770e5263d6e032590ff170b6f73,1
220480713093,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220480713093&categoryNo=1123,[PRJ-32] 2012.10 ~ 2013.01 - S전자 **** 시스템,2015. 9. 14. 9:34,full-text,,602421532c8f3c3b1f86944ec6acfd2509de12f8fd9650d603dd87328264565b,1
220480742263,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220480742263&categoryNo=1123,[PRJ-33] 2013.02 ~ 2013.04 - S전자 ****소 S/W 검정시스템,2015. 9. 14. 10:09,full-text,,5acdc8aa773565ae6d29deb544a13c23e0873c7d7ebfb276b9ac7c0549b6c733,1
220481176600,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220481176600&categoryNo=1123,[PRJ-34] 2013.06 ~ 2014.01 - 현대기아자동차 **관리시스템,2015. 9. 14. 16:54,full-text,,442291d1d4dac5a674c4e540fce8e90ed6e863a89318cb8aee0f69de8cc95202,1
220525009717,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220525009717&categoryNo=1123,[PRJ-35] 2014.02 ~ 2014.07 - 삼성전자 오픈소스 관리사이트,2015. 10. 31. 15:20,full-text,,17101fa0980f0707ea10f8a10ac03b2d961195f9bfe5fc86c5e8510f88b6df00,1
220565916614,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220565916614&categoryNo=1123,[PRJ-36] 2014.08 ~ 2014.12 - 삼성전자 오픈소스 크롤러,2015. 12. 11. 23:47,full-text,,f84c87284531f1a0af9b5c57793e59cdfdd112efa16454322724e38d2bf2697c,1
220570373677,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220570373677&categoryNo=1123,Linux Master - 국가공인 리눅스마스터 시험정보 및 시험일정,2015. 12. 16. 19:35,full-text,,c64ac8617524f44fbdba899155d5a9d6f634ca115c2d01be31fddb83fbe0742e,1
220570451690,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220570451690&categoryNo=1123,Network Manager - 국가공인 네트워크관리사 시험일정 및 도전,2015. 12. 16. 21:09,full-text,,5f799e7f111abb460b03a459b95232ae4875c43800e034b4007a415a7aa46c3d,1
220593644149,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220593644149&categoryNo=1123,Skill Inventory - 프로젝트 보유기술 현황 (2016년 1월 기준),2016. 1. 11. 3:26,full-text,,4d55c016a1e7aeeb7be470ce21cbf64391bdbb9f0ee27858053cb0ef4cc7e4ad,1
